2025-05-06 12:22:40 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-06 12:22:40 [main] INFO  r.s.j.m.m.a.MessengerApplication - Starting MessengerApplication using Java 17.0.12 with PID 19088 (C:\Users\tanki\pet-projects\Messenger\messenger-application\target\classes started by tanki in C:\Users\tanki\pet-projects\Messenger)
2025-05-06 12:22:40 [main] INFO  r.s.j.m.m.a.MessengerApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-06 12:22:47 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-06 12:22:47 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-06 12:22:47 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-06 12:22:47 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-05-06 12:22:47 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-06 12:22:47 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6644 ms
2025-05-06 12:22:48 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-05-06 12:22:49 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-06 12:22:49 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Loaded JDBC driver class: org.postgresql.Driver
2025-05-06 12:22:49 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001012: Connecting with JDBC URL [jdbc:postgresql://localhost:6666/messenger]
2025-05-06 12:22:49 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {password=qwerty, user=postgres}
2025-05-06 12:22:49 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2025-05-06 12:22:49 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001115: Connection pool size: 20 (min=1)
2025-05-06 12:22:54 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-06 12:22:56 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-05-06 12:22:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6b83ec49, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@50ad5625, org.springframework.security.web.context.SecurityContextHolderFilter@31d09031, org.springframework.security.web.header.HeaderWriterFilter@2553fbd0, org.springframework.web.filter.CorsFilter@1d921267, org.springframework.security.web.authentication.logout.LogoutFilter@3a3375d8, ru.senla.javacourse.mutovin.messenger.impl.utils.JwtAuthenticationFilter@b867869, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@106f0051, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4fe687b5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c5f6292, org.springframework.security.web.session.SessionManagementFilter@eccaf1b, org.springframework.security.web.access.ExceptionTranslationFilter@5e9a9683, org.springframework.security.web.access.intercept.AuthorizationFilter@3d00c2ae]
2025-05-06 12:22:59 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-06 12:22:59 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-05-06 12:22:59 [main] INFO  r.s.j.m.m.a.MessengerApplication - Started MessengerApplication in 19.832 seconds (process running for 23.024)
2025-05-06 12:23:00 [RMI TCP Connection(2)-172.25.224.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-06 12:23:00 [RMI TCP Connection(2)-172.25.224.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-06 12:23:00 [RMI TCP Connection(2)-172.25.224.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2025-05-06 12:24:57 [http-nio-8080-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 542 ms
2025-05-06 12:53:12 [SpringApplicationShutdownHook] INFO  o.hibernate.orm.connections.pooling - HHH10001008: Cleaning up connection pool [jdbc:postgresql://localhost:6666/messenger]
